rbo,cluster,signature_name,current_p
0.0687907667401432,K169-148,pnoc,0.98
0.0123700086661423,K169-149,pnoc,0.98
0.031234549590761,K169-15,pnoc,0.98
0.0243021701542417,K169-150,pnoc,0.98
0.0243953820935091,K169-151,pnoc,0.98
0.0141512226215637,K169-152,pnoc,0.98
0.0202687594488045,K169-153,pnoc,0.98
0.0115971545807288,K169-154,pnoc,0.98
0.0577636573310867,K169-155,pnoc,0.98
0.0370305768730663,K169-156,pnoc,0.98
0.0653881396402839,K169-157,pnoc,0.98
0.0249587288917446,K169-158,pnoc,0.98
0.0303376132712709,K169-159,pnoc,0.98
0.0246948601943805,K169-16,pnoc,0.98
0.0282261520171901,K169-160,pnoc,0.98
0.0722570117920968,K169-161,pnoc,0.98
0.0406106042676342,K169-162,pnoc,0.98
0.0766095135388225,K169-163,pnoc,0.98
0.0372902143516115,K169-164,pnoc,0.98
0.00701383545280835,K169-165,pnoc,0.98
0.105874475256919,K169-166,pnoc,0.98
0.0199833426466905,K169-167,pnoc,0.98
0.00273641249738215,K169-17,pnoc,0.98
0.0542541203771893,K169-170,pnoc,0.98
0,K169-171,pnoc,0.98
3.16620370409125e-06,K169-18,pnoc,0.98
0.00091557412912664,K169-19,pnoc,0.98
0.000238541319126287,K169-2,pnoc,0.98
0.0592960006837534,K169-20,pnoc,0.98
0.0148381282151488,K169-21,pnoc,0.98
0.0137413695362526,K169-22,pnoc,0.98
0.0177667298627384,K169-23,pnoc,0.98
0.0454690305270962,K169-24,pnoc,0.98
0.0136546803041314,K169-25,pnoc,0.98
0.000527885909222491,K169-26,pnoc,0.98
0.0133406233053564,K169-27,pnoc,0.98
0.085101462877307,K169-28,pnoc,0.98
0.0596187899074201,K169-29,pnoc,0.98
0.00290432882844005,K169-3,pnoc,0.98
0.0472775864930276,K169-30,pnoc,0.98
0.0248927095819847,K169-31,pnoc,0.98
0.0504519548019062,K169-32,pnoc,0.98
0.0222336263545389,K169-33,pnoc,0.98
0.00375712176887606,K169-34,pnoc,0.98
0.00803352145755072,K169-35,pnoc,0.98
0.0128128764530136,K169-36,pnoc,0.98
0.0200030875536801,K169-37,pnoc,0.98
