cluster_id,cluster_name,gene,avg_log2FC,p_val_adj,p_val_adj_negbinom,pct.1,pct.2,pct_diff,N_DEG
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Uchl1,-0.879308721364256,0.000162295694439413,1.65779303881319e-05,0.671,0.799,-0.128,24
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ubc,-0.828696471421709,0.000163561218619923,0.000149225248787253,0.129,0.504,-0.375,9
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Atp5g3,-0.842336064433065,0.000181482229523673,2.15033218827989e-05,0.171,0.552,-0.381,35
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Gap43,-0.852613703860853,0.000198491335125089,0.000158791669023098,0.871,0.892,-0.021,18
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tmx4,-0.868625170015772,0.00019961933577406,0.000247117130441972,0.771,0.843,-0.072,32
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Tubb2a,-0.970718995974148,0.000256379033394256,1.00765090590988e-06,0.414,0.668,-0.254,27
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rnpc3,0.580094332557108,0.000257419511728535,6.4548348672737e-05,0.986,0.914,0.072,27
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Rps20,-0.932612809144735,0.000265588654806749,7.07262881903903e-06,0.243,0.571,-0.328,26
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Ywhah,-1.04998118206391,0.000284425638097257,1.34351782140251e-07,0.4,0.646,-0.246,31
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Grip1,0.443999883446445,0.000284886198569187,2.30648251294642e-09,1,1,0,3
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Baiap3,0.439067630508834,0.000285840530836861,0.0228827228532311,1,0.955,0.045,9
C286-5,C286-5: Slc6a3.Pitx2.Irx5.GLU-2,Gm10076,-0.816771538272713,0.000315555505960666,0.000477547055394774,0.086,0.459,-0.373,20
