gene,ensembl_gene_id,log2FoldChange,padj
Gstt3,ENSMUSG00000001665,-2.77133377890913,4.76564928242249e-39
Ddt,ENSMUSG00000001666,0.197201902717397,0.187506537788579
Tat,ENSMUSG00000001670,-0.581996095217162,0.777138505068623
Marveld3,ENSMUSG00000001672,-0.0879612593834678,0.827754926163846
Ddx18,ENSMUSG00000001674,0.454408629423865,0.000163659291933784
Ubl3,ENSMUSG00000001687,0.0734132280627249,0.613437570608409
Gramd3,ENSMUSG00000001700,-3.04502451614848,9.68852594855254e-41
Eef1e1,ENSMUSG00000001707,0.668169976503413,3.51295259711373e-08
Akt1,ENSMUSG00000001729,0.399198549340671,0.00125741012714321
Cldn15,ENSMUSG00000001739,-0.19928997885433,0.947086945042546
Il16,ENSMUSG00000001741,-1.18827664804873,0.000243731516775772
Tcirg1,ENSMUSG00000001750,-0.560060539850188,0.0460165059584665
Naglu,ENSMUSG00000001751,0.111989518770718,0.749749805377665
Coasy,ENSMUSG00000001755,0.197601740101202,0.157267268266932
Smo,ENSMUSG00000001761,-2.21716262499228,1.73629118462314e-32
Tspan33,ENSMUSG00000001763,0.534672398770509,0.0166961185300254
Crnkl1,ENSMUSG00000001767,-0.100436160088665,0.656837958213177
Rin2,ENSMUSG00000001768,-1.72293646816398,3.85277744109263e-33
Folh1,ENSMUSG00000001773,-3.30991394580287,3.88008655637523e-36
Chordc1,ENSMUSG00000001774,0.236744208185972,0.0453351877148566
Rtcb,ENSMUSG00000001783,0.217946408148904,0.080894147718828
Pwp1,ENSMUSG00000001785,-0.0488988338978617,0.749068552935895
Fbxo7,ENSMUSG00000001786,-0.387074498337623,0.0081958363578121
Capns1,ENSMUSG00000001794,0.514482762400011,9.00419232703455e-09
Lrp3,ENSMUSG00000001802,0.448384473759154,0.00327543032686384
Dsg4,ENSMUSG00000001804,,
Evx2,ENSMUSG00000001815,-1.09885232528501,
Hoxd13,ENSMUSG00000001819,,
Hoxd12,ENSMUSG00000001823,,
Folr1,ENSMUSG00000001827,-0.934149774413633,0.290551926537599
Clpb,ENSMUSG00000001829,0.157940667345655,0.239109048728703
Septin7,ENSMUSG00000001833,-0.0843405294214687,0.484442126198344
Zdhhc4,ENSMUSG00000001844,-0.445946942881449,0.00753286293577134
Rac1,ENSMUSG00000001847,-0.0389458964743868,0.715192760017222
Nup214,ENSMUSG00000001855,-0.293007201038699,0.0336821945214317
Aif1l,ENSMUSG00000001864,-3.73733365314287,2.14597844435887e-55
Cpa3,ENSMUSG00000001865,-1.79371814153316,
Ltbp1,ENSMUSG00000001870,-1.65185536014385,2.30716086183893e-10
Ugp2,ENSMUSG00000001891,-0.109845047969405,0.292065553674221
Kcnh6,ENSMUSG00000001901,0.48031148167825,0.0106804520822438
Trmt1,ENSMUSG00000001909,0.305526430723911,0.0188230249136533
Nacc1,ENSMUSG00000001910,0.364541858088907,4.35065682564325e-05
Nfix,ENSMUSG00000001911,-2.20675467879939,2.21505206704224e-38
Slc1a5,ENSMUSG00000001918,-0.532760623940551,0.336203037790627
Uba1,ENSMUSG00000001924,0.505619037236192,3.77581194814304e-06
Vwf,ENSMUSG00000001930,-1.07020065207459,0.116222904749814
Siae,ENSMUSG00000001942,0.132638704298144,0.305891766462818
