gene,ensembl_gene_id,log2FoldChange,padj
Pdzd4,ENSMUSG00000002006,1.13946768639025,2.66139994046432e-06
Srpk3,ENSMUSG00000002007,-0.232676623395882,0.910288601311407
Idh3g,ENSMUSG00000002010,0.219658969251947,0.0987742283879575
Pnck,ENSMUSG00000002012,0.757775316580596,4.5348464640803e-15
Ssr4,ENSMUSG00000002014,1.29000354575273,4.39370393276588e-22
Bcap31,ENSMUSG00000002015,0.73494551023473,0.000207539106989757
Fam98a,ENSMUSG00000002017,-0.702451453192357,0.0114415608660255
Ltbp2,ENSMUSG00000002020,-2.51019170575441,0.408362869553054
Kmt2a,ENSMUSG00000002028,-0.0871867580770791,0.422136935873022
Ift46,ENSMUSG00000002031,0.54315313740967,0.00232162354740245
Tmem25,ENSMUSG00000002032,-0.874464982002351,2.31833072928203e-05
Cd3g,ENSMUSG00000002033,-0.540427902501454,
Trappc6a,ENSMUSG00000002043,0.918597386393255,0.0727449617910477
Supt6,ENSMUSG00000002052,0.458638801584136,0.0512652408484942
Spag5,ENSMUSG00000002055,-2.30209475786275,1.58353501493607e-09
Foxn1,ENSMUSG00000002057,-1.74180905351762,
Unc119,ENSMUSG00000002058,0.586873451986063,0.000113449074885804
Rab34,ENSMUSG00000002059,0.941241586023035,6.63884944191587e-07
Sdf2,ENSMUSG00000002064,0.96416588581297,2.14345954886615e-16
Ccne1,ENSMUSG00000002068,0.30063084850861,0.711286684007737
Hsf2bp,ENSMUSG00000002076,0.741480716399169,0.472893336033508
Bbc3,ENSMUSG00000002083,-0.103078081971778,0.91193151270699
Mybpc3,ENSMUSG00000002100,-1.36326678985827,
Psmc3,ENSMUSG00000002102,0.240412807406172,0.333874568873566
Acp2,ENSMUSG00000002103,0.329326549952962,0.0843946134672651
Rapsn,ENSMUSG00000002104,1.08153353147611,0.614315201128025
Slc39a13,ENSMUSG00000002105,0.279382457144623,0.457882192044141
Celf2,ENSMUSG00000002107,-1.2751429301897,3.48214918332649e-63
Nr1h3,ENSMUSG00000002108,-3.59294306081051,0.0132547511286337
Ddb2,ENSMUSG00000002109,-1.95736448492205,4.54776568541417e-05
Spi1,ENSMUSG00000002111,-1.36994771695051,0.345838730341274
Sf3a1,ENSMUSG00000002129,0.634435194190929,0.00804785618935931
Stat6,ENSMUSG00000002147,0.702259360502761,0.0457998212266341
Clgn,ENSMUSG00000002190,-2.05678018620933,9.99907647794451e-06
Napsa,ENSMUSG00000002204,0.416094724817237,0.79841862171843
Vrk3,ENSMUSG00000002205,0.302454933241619,0.205477415016463
Smg9,ENSMUSG00000002210,0.198088116475624,0.741447623157754
Paxip1,ENSMUSG00000002221,0.435421611621519,0.0708047561333081
Rmnd5a,ENSMUSG00000002222,0.298400656349232,0.0769718329958187
Mov10,ENSMUSG00000002227,1.66420788799197,3.64940267024367e-15
Ppm1j,ENSMUSG00000002228,-2.11172980003093,0.278322706845186
Rhoc,ENSMUSG00000002233,0.484676028177789,0.0636076773146387
Prr27,ENSMUSG00000002240,,
Tead3,ENSMUSG00000002249,0.0796345105626841,0.94760818010663
Ppard,ENSMUSG00000002250,0.100109456558901,0.872615385887103
Def6,ENSMUSG00000002257,0.915262105721113,0.675672424849139
Peg3,ENSMUSG00000002265,0.174413366615678,0.486540538048866
Zim1,ENSMUSG00000002266,-0.103275559641261,0.755227832974219
Metrn,ENSMUSG00000002274,-0.721353691935954,0.0661513137343282
Lmf1,ENSMUSG00000002279,0.132149268702919,0.801753409506915
Ciao3,ENSMUSG00000002280,-0.0436849592760944,0.891780177775577
Angptl4,ENSMUSG00000002289,-2.79423196647424,0.0288389697266176
Dbf4,ENSMUSG00000002297,-0.929450477129798,0.323038748272564
Daxx,ENSMUSG00000002307,0.741421519619966,0.0177681526562442
