feature	expression	ident
Npy	5.11512296365407	Anderson10x
Npy	4.70357893356533	Anderson10x
Npy	5.25655800728434	Anderson10x
Npy	-1.2176994886684e-05	Anderson10x
Npy	0.621136449914803	Anderson10x
Npy	3.23670177491238	Anderson10x
Npy	4.8682626249172	Anderson10x
Npy	5.48961645537083	Anderson10x
Npy	5.0948736238572	Anderson10x
Npy	6.35887666395333	Anderson10x
Npy	5.0927476272258	Anderson10x
Npy	4.97339437308187	Anderson10x
Npy	4.76328796389331	Anderson10x
Npy	3.37491637289697	Anderson10x
Npy	1.19997831633667e-05	Anderson10x
Npy	3.96842281590682	Anderson10x
Npy	3.60547912367825	Anderson10x
Npy	5.91719955525935	Anderson10x
Npy	5.07367390425292	Anderson10x
Npy	4.57111513202427	Anderson10x
Npy	5.49678332836146	Anderson10x
Npy	5.29114796956059	Anderson10x
Npy	1.64627819944679	Anderson10x
Npy	4.56094433078333	Anderson10x
Npy	5.15337824136937	Anderson10x
Npy	4.06886268934026	Anderson10x
Npy	-8.00935486737338e-06	Anderson10x
Npy	5.73382383326837	CampbellDropseq
Npy	2.29300845148209	CampbellDropseq
Npy	4.9658824528908	CampbellDropseq
Npy	5.75257793122349	CampbellDropseq
Npy	6.40308147295002	CampbellDropseq
Npy	6.32880154433046	CampbellDropseq
Npy	6.22593013854339	CampbellDropseq
Npy	6.19752014028396	CampbellDropseq
Npy	5.75774689968811	CampbellDropseq
Npy	5.57373798429026	CampbellDropseq
Npy	5.91145558288423	CampbellDropseq
Npy	6.01491405310966	CampbellDropseq
Npy	5.85706820635192	CampbellDropseq
Npy	3.03065786690217	CampbellDropseq
Npy	5.56996859857739	CampbellDropseq
Npy	4.73976796688694	CampbellDropseq
Npy	6.04074283093218	CampbellDropseq
Npy	6.26079148384022	CampbellDropseq
Npy	4.88267081589611	CampbellDropseq
Npy	6.32741238056761	CampbellDropseq
Npy	4.78339285286937	CampbellDropseq
Npy	4.60982455051639	CampbellDropseq
Npy	3.46789950592124	CampbellDropseq
Npy	6.02054585027549	CampbellDropseq
